year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Original Screenplay,Melvin and Howard,Bo Goldman,0.0,0.0,0.0,1.0,95,4309490.0,6.9,61.0,94.0,1,1,0,0,0,0,0,1,0
1980,Original Screenplay,Brubaker,W. D. Richter,0.0,0.0,0.0,0.0,132,37121708.0,7.1,74.0,75.0,1,1,0,0,0,0,1,0,0
1980,Original Screenplay,Fame,Gore !Christopher Gore,0.0,0.0,0.0,0.0,133,21200000.0,6.6,69.0,83.0,1,1,0,0,0,0,1,0,0
1980,Original Screenplay,Private Benjamin,Nancy Meyers,0.0,0.0,0.0,0.0,109,69847348.0,6.1,60.0,88.0,1,1,0,0,0,0,0,0,1
1981,Original Screenplay,Chariots of Fire,Colin Welland,0.0,0.0,0.0,1.0,124,59000000.0,7.2,80.0,83.0,0,0,1,0,0,0,1,0,0
1981,Original Screenplay,Absence of Malice,Kurt Luedtke,0.0,0.0,0.0,0.0,116,40716963.0,6.9,61.0,86.0,1,0,1,0,0,0,0,0,1
1981,Original Screenplay,Arthur,Steve Gordon,0.0,0.0,0.0,0.0,97,95461682.0,6.9,77.0,90.0,1,0,1,0,0,0,0,1,0
1981,Original Screenplay,Atlantic City,John Guare,0.0,0.0,0.0,0.0,104,12729675.0,7.4,77.0,100.0,0,1,0,0,0,0,1,0,0
1981,Original Screenplay,Reds,Warren Beatty,0.0,0.0,0.0,0.0,195,40400000.0,7.5,82.0,94.0,1,0,1,0,0,0,0,0,1
1982,Original Screenplay,Gandhi,John Briley,0.0,1.0,0.0,1.0,191,127800000.0,8.1,92.0,88.0,0,0,1,0,0,1,0,0,0
1982,Original Screenplay,Diner,Barry Levinson,0.0,0.0,0.0,0.0,110,14099953.0,7.2,78.0,91.0,1,1,0,0,0,0,1,0,0
1982,Original Screenplay,E.T. the Extra-Terrestrial,Melissa Mathison,0.0,0.0,0.0,0.0,114,792900000.0,7.9,72.0,98.0,1,0,1,0,0,0,1,0,0
1982,Original Screenplay,An Officer and a Gentleman,Douglas Day Stewart,0.0,0.0,0.0,0.0,122,129800000.0,7.0,81.0,81.0,1,1,0,0,0,0,0,1,0
1982,Original Screenplay,Tootsie,Larry Gelbart,0.0,0.0,0.0,0.0,116,177200000.0,7.4,81.0,89.0,1,0,1,0,0,0,0,0,1
1983,Original Screenplay,Tender Mercies,Horton Foote,0.0,0.0,0.0,1.0,92,8440000.0,7.4,82.0,85.0,1,0,1,0,0,0,1,0,0
1983,Original Screenplay,The Big Chill,Lawrence Kasdan,0.0,0.0,0.0,0.0,105,56399659.0,7.2,77.0,68.0,1,1,0,0,0,0,0,1,0
1983,Original Screenplay,Fanny and Alexander,Ingmar Bergman,0.0,0.0,0.0,0.0,121,6700000.0,8.1,94.0,100.0,0,1,0,0,0,0,0,0,1
1983,Original Screenplay,Silkwood,Nora Ephron,0.0,0.0,0.0,0.0,131,35615609.0,7.2,78.0,75.0,1,1,0,0,0,1,0,0,0
1983,Original Screenplay,WarGames,Lawrence Lasker,0.0,0.0,0.0,0.0,114,79600000.0,7.1,75.0,93.0,1,0,1,0,0,0,1,0,0
1984,Original Screenplay,Places in the Heart,Robert Benton,0.0,0.0,0.0,1.0,102,34901614.0,7.3,82.0,96.0,1,0,1,0,0,0,0,0,1
1984,Original Screenplay,Beverly Hills Cop,Daniel Petrie Jr.,0.0,0.0,0.0,0.0,105,316400000.0,7.3,81.0,84.0,1,1,0,0,0,0,0,0,1
1984,Original Screenplay,Broadway Danny Rose,Woody Allen,1.0,0.0,0.0,0.0,84,10600497.0,7.5,84.0,100.0,1,0,1,0,0,1,0,0,0
1984,Original Screenplay,Splash,Lowell Ganz,0.0,0.0,0.0,0.0,111,69821334.0,6.2,58.0,92.0,1,0,1,0,0,1,0,0,0
1985,Original Screenplay,Witness,Earl Wallace,0.0,0.0,0.0,1.0,112,68700000.0,7.4,80.0,92.0,1,1,0,0,0,1,0,0,0
1985,Original Screenplay,Back to the Future,Robert Zemeckis,0.0,0.0,0.0,0.0,116,381100000.0,8.5,94.0,96.0,1,0,1,0,0,0,0,1,0
1985,Original Screenplay,Brazil,Terry Gilliam,0.0,0.0,0.0,0.0,142,9900000.0,8.0,90.0,98.0,0,1,0,0,0,0,0,0,1
1985,Original Screenplay,The Purple Rose of Cairo,Woody Allen,1.0,1.0,0.0,0.0,82,10631333.0,7.7,88.0,91.0,1,0,1,0,0,0,1,0,0
1986,Original Screenplay,Hannah and Her Sisters,Woody Allen,1.0,0.0,0.0,1.0,106,40100000.0,8.0,90.0,93.0,1,0,0,1,0,1,0,0,0
1986,Original Screenplay,"""Crocodile"" Dundee",Paul Hogan,0.0,0.0,0.0,0.0,104,328000000.0,6.5,59.0,90.0,0,0,0,1,0,0,0,1,0
1986,Original Screenplay,My Beautiful Laundrette,Hanif Kureishi,0.0,0.0,0.0,0.0,97,2451545.0,6.9,75.0,100.0,0,1,0,0,0,0,1,0,0
