year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Picture,Ordinary People,Ordinary People,0.0,1.0,0.0,1.0,124,54800000.0,7.8,88.0,90.0,1,1,0,0,0,1,0,0,0
1980,Picture,Coal Miner's Daughter,Coal Miner's Daughter,0.0,1.0,0.0,0.0,125,67182787.0,7.5,86.0,100.0,1,0,1,0,0,1,0,0,0
1980,Picture,The Elephant Man,The Elephant Man,1.0,0.0,0.0,0.0,124,26000000.0,8.2,93.0,90.0,1,0,1,0,0,0,0,0,1
1980,Picture,Raging Bull,Raging Bull,0.0,0.0,0.0,0.0,129,23400000.0,8.2,93.0,97.0,1,1,0,0,0,0,0,0,1
1980,Picture,Tess,Tess,0.0,0.0,0.0,0.0,186,20100000.0,7.3,78.0,85.0,0,0,1,0,0,0,0,0,1
1981,Picture,Chariots of Fire,Chariots of Fire,1.0,0.0,0.0,1.0,124,59000000.0,7.2,80.0,83.0,0,0,1,0,0,0,1,0,0
1981,Picture,Atlantic City,Atlantic City,0.0,0.0,0.0,0.0,104,12729675.0,7.4,77.0,100.0,0,1,0,0,0,0,1,0,0
1981,Picture,On Golden Pond,On Golden Pond,0.0,1.0,0.0,0.0,109,119300000.0,7.7,87.0,92.0,1,0,1,0,0,1,0,0,0
1981,Picture,Raiders of the Lost Ark,Raiders of the Lost Ark,0.0,0.0,0.0,0.0,115,389900000.0,8.5,96.0,94.0,1,0,1,0,0,0,1,0,0
1981,Picture,Reds,Reds,0.0,0.0,0.0,0.0,195,40400000.0,7.5,82.0,94.0,1,0,1,0,0,0,0,0,1
1982,Picture,Gandhi,Gandhi,1.0,0.0,0.0,1.0,191,127800000.0,8.1,92.0,88.0,0,0,1,0,0,1,0,0,0
1982,Picture,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0.0,1.0,0.0,0.0,114,792900000.0,7.9,72.0,98.0,1,0,1,0,0,0,1,0,0
1982,Picture,Missing,Missing,0.0,0.0,0.0,0.0,122,1416000000.0,7.8,85.0,97.0,1,0,1,0,0,1,0,0,0
1982,Picture,Tootsie,Tootsie,0.0,1.0,0.0,0.0,116,177200000.0,7.4,81.0,89.0,1,0,1,0,0,0,0,0,1
1982,Picture,The Verdict,The Verdict,0.0,0.0,0.0,0.0,129,53977250.0,7.8,88.0,96.0,1,1,0,0,0,0,0,0,1
1983,Picture,Terms of Endearment,Terms of Endearment,0.0,1.0,0.0,1.0,132,108400000.0,7.4,84.0,88.0,1,0,1,0,0,0,0,0,1
1983,Picture,The Big Chill,The Big Chill,0.0,0.0,0.0,0.0,105,56399659.0,7.2,77.0,68.0,1,1,0,0,0,0,0,1,0
1983,Picture,The Dresser,The Dresser,0.0,0.0,0.0,0.0,118,5310748.0,7.7,88.0,100.0,0,0,1,0,0,0,0,0,1
1983,Picture,The Right Stuff,The Right Stuff,0.0,0.0,0.0,0.0,192,21100000.0,7.9,90.0,98.0,1,0,1,0,0,1,0,0,0
1983,Picture,Tender Mercies,Tender Mercies,0.0,0.0,0.0,0.0,92,8440000.0,7.4,82.0,85.0,1,0,1,0,0,0,1,0,0
1984,Picture,Amadeus,Amadeus,0.0,1.0,0.0,1.0,161,52000000.0,8.3,95.0,95.0,1,1,0,0,0,0,0,1,0
1984,Picture,The Killing Fields,The Killing Fields,1.0,0.0,0.0,0.0,141,34700291.0,7.9,92.0,93.0,0,1,0,0,0,1,0,0,0
1984,Picture,A Passage to India,A Passage to India,0.0,0.0,0.0,0.0,163,27200000.0,7.4,78.0,85.0,0,0,1,0,0,1,0,0,0
1984,Picture,Places in the Heart,Places in the Heart,0.0,0.0,0.0,0.0,102,34901614.0,7.3,82.0,96.0,1,0,1,0,0,0,0,0,1
1984,Picture,A Soldier's Story,A Soldier's Story,0.0,0.0,0.0,0.0,101,21821347.0,7.2,82.0,89.0,1,0,1,0,0,0,0,0,1
1985,Picture,Out of Africa,Out of Africa,0.0,1.0,0.0,1.0,161,128500000.0,7.2,83.0,56.0,1,0,1,0,0,0,0,0,1
1985,Picture,The Color Purple,The Color Purple,0.0,0.0,0.0,0.0,153,142000000.0,7.8,94.0,88.0,1,0,0,1,0,1,0,0,0
1985,Picture,Kiss of the Spider Woman,Kiss of the Spider Woman,0.0,0.0,0.0,0.0,121,17005229.0,7.4,81.0,88.0,0,1,0,0,0,0,0,1,0
1985,Picture,Prizzi's Honor,Prizzi's Honor,0.0,1.0,0.0,0.0,130,26657534.0,6.8,62.0,88.0,1,1,0,0,0,0,1,0,0
1985,Picture,Witness,Witness,0.0,0.0,0.0,0.0,112,68700000.0,7.4,80.0,92.0,1,1,0,0,0,1,0,0,0
1986,Picture,Platoon,Platoon,0.0,1.0,0.0,1.0,120,138500000.0,8.1,93.0,88.0,1,1,0,0,0,1,0,0,0
1986,Picture,Children of a Lesser God,Children of a Lesser God,0.0,0.0,0.0,0.0,119,31853080.0,7.2,78.0,81.0,1,1,0,0,0,0,0,0,1
1986,Picture,Hannah and Her Sisters,Hannah and Her Sisters,0.0,1.0,0.0,0.0,106,40100000.0,8.0,90.0,93.0,1,0,0,1,0,1,0,0,0
1986,Picture,The Mission,The Mission,0.0,0.0,0.0,0.0,125,17200000.0,7.5,87.0,65.0,0,0,1,0,0,0,0,0,1
1986,Picture,A Room with a View,A Room with a View,1.0,0.0,0.0,0.0,117,21000000.0,7.4,86.0,100.0,0,0,0,1,0,0,1,0,0
1987,Picture,The Last Emperor,The Last Emperor,0.0,1.0,0.0,1.0,163,44000000.0,7.8,88.0,92.0,0,0,0,1,0,0,1,0,0
1987,Picture,Broadcast News,Broadcast News,0.0,0.0,0.0,0.0,133,67331309.0,7.2,78.0,98.0,1,1,0,0,0,0,0,0,1
1987,Picture,Fatal Attraction,Fatal Attraction,0.0,0.0,0.0,0.0,119,320100000.0,6.9,72.0,78.0,1,1,0,0,0,0,0,1,0
1987,Picture,Hope and Glory,Hope and Glory,0.0,1.0,0.0,0.0,113,10000000.0,7.4,83.0,94.0,0,0,0,1,0,1,0,0,0
1987,Picture,Moonstruck,Moonstruck,0.0,0.0,0.0,0.0,102,91640528.0,7.1,80.0,92.0,1,0,1,0,0,1,0,0,0
1988,Picture,Rain Man,Rain Man,0.0,1.0,0.0,1.0,133,354800000.0,8.0,90.0,90.0,1,1,0,0,0,0,0,0,1
1988,Picture,The Accidental Tourist,The Accidental Tourist,0.0,0.0,0.0,0.0,121,32632093.0,6.8,60.0,79.0,1,0,1,0,0,1,0,0,0
1988,Picture,Dangerous Liaisons,Dangerous Liaisons,0.0,0.0,0.0,0.0,119,34700000.0,7.7,83.0,93.0,1,1,0,0,0,1,0,0,0
1988,Picture,Mississippi Burning,Mississippi Burning,0.0,0.0,0.0,0.0,128,34600000.0,7.8,90.0,89.0,1,1,0,0,0,1,0,0,0
1988,Picture,Working Girl,Working Girl,0.0,1.0,0.0,0.0,114,102953112.0,6.7,67.0,84.0,1,1,0,0,0,0,0,0,1
1989,Picture,Driving Miss Daisy,Driving Miss Daisy,0.0,1.0,0.0,1.0,100,145800000.0,7.4,81.0,82.0,1,0,1,0,0,1,0,0,0
1989,Picture,Born on the Fourth of July,Born on the Fourth of July,0.0,1.0,0.0,0.0,145,161000000.0,7.2,76.0,90.0,1,1,0,0,0,1,0,0,0
1989,Picture,Dead Poets Society,Dead Poets Society,1.0,0.0,0.0,0.0,128,235800000.0,8.0,92.0,85.0,1,0,1,0,0,0,1,0,0
1989,Picture,Field of Dreams,Field of Dreams,0.0,0.0,0.0,0.0,107,84400000.0,7.5,86.0,86.0,1,0,1,0,0,0,1,0,0
1989,Picture,My Left Foot,My Left Foot,0.0,0.0,0.0,0.0,103,14700000.0,7.9,92.0,97.0,0,1,0,0,0,1,0,0,0
1990,Picture,Dances with Wolves,Dances with Wolves,0.0,1.0,0.0,1.0,181,424200000.0,8.0,87.0,82.0,1,0,0,1,0,0,0,0,1
1990,Picture,Awakenings,Awakenings,0.0,0.0,0.0,0.0,121,52100000.0,7.8,89.0,88.0,1,0,0,1,0,1,0,0,0
1990,Picture,Ghost,Ghost,0.0,0.0,0.0,0.0,127,505700000.0,7.0,80.0,74.0,1,0,0,1,0,0,0,1,0
