year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Supporting Actor,Ordinary People,Timothy Hutton,0.0,1.0,0.0,1.0,124,54800000.0,7.8,88.0,90.0,1,1,0,0,0,1,0,0,0
1980,Supporting Actor,Ordinary People,Judd Hirsch,0.0,0.0,0.0,0.0,124,54800000.0,7.8,88.0,90.0,1,1,0,0,0,1,0,0,0
1980,Supporting Actor,The Great Santini,Michael O'Keefe,0.0,0.0,0.0,0.0,115,4700000.0,7.2,76.0,94.0,1,0,1,0,0,0,0,0,1
1980,Supporting Actor,Raging Bull,Joe Pesci,0.0,0.0,0.0,0.0,129,23400000.0,8.2,93.0,97.0,1,1,0,0,0,0,0,0,1
1980,Supporting Actor,Melvin and Howard,Jason Robards,0.0,0.0,0.0,0.0,95,4309490.0,6.9,61.0,94.0,1,1,0,0,0,0,0,1,0
1981,Supporting Actor,Arthur,John Gielgud,0.0,1.0,0.0,1.0,97,95461682.0,6.9,77.0,90.0,1,0,1,0,0,0,0,1,0
1981,Supporting Actor,Only When I Laugh,James Coco,0.0,0.0,0.0,0.0,120,25524778.0,6.5,40.0,50.0,1,1,0,0,0,0,0,1,0
1981,Supporting Actor,Chariots of Fire,Ian Holm,1.0,0.0,0.0,0.0,124,59000000.0,7.2,80.0,83.0,0,0,1,0,0,0,1,0,0
1981,Supporting Actor,Reds,Jack Nicholson,0.0,0.0,0.0,0.0,195,40400000.0,7.5,82.0,94.0,1,0,1,0,0,0,0,0,1
1981,Supporting Actor,Ragtime,Howard Rollins,0.0,0.0,0.0,0.0,155,11099118.0,7.3,77.0,90.0,1,0,1,0,0,0,0,0,1
1982,Supporting Actor,An Officer and a Gentleman,Louis Gossett Jr.,0.0,1.0,0.0,1.0,122,129800000.0,7.0,81.0,81.0,1,1,0,0,0,0,0,1,0
1982,Supporting Actor,The Best Little Whorehouse in Texas,Charles Durning,0.0,0.0,0.0,0.0,114,69700000.0,5.8,68.0,56.0,1,1,0,0,0,0,0,1,0
1982,Supporting Actor,The World According to Garp,John Lithgow,0.0,0.0,0.0,0.0,136,29712172.0,7.2,79.0,79.0,1,1,0,0,0,0,0,1,0
1982,Supporting Actor,The Verdict,James Mason,0.0,0.0,0.0,0.0,129,53977250.0,7.8,88.0,96.0,1,1,0,0,0,0,0,0,1
1982,Supporting Actor,Victor Victoria,Robert Preston,0.0,0.0,0.0,0.0,132,28215453.0,7.6,86.0,96.0,0,0,1,0,0,1,0,0,0
1983,Supporting Actor,Terms of Endearment,Jack Nicholson,0.0,1.0,0.0,1.0,132,108400000.0,7.4,84.0,88.0,1,0,1,0,0,0,0,0,1
1983,Supporting Actor,To Be or Not to Be,Charles Durning,0.0,0.0,0.0,0.0,107,13000000.0,6.8,76.0,63.0,1,0,1,0,0,0,0,0,1
1983,Supporting Actor,Terms of Endearment,John Lithgow,0.0,0.0,0.0,0.0,132,108400000.0,7.4,84.0,88.0,1,0,1,0,0,0,0,0,1
1983,Supporting Actor,The Right Stuff,Sam Shepard,0.0,0.0,0.0,0.0,192,21100000.0,7.9,90.0,98.0,1,0,1,0,0,1,0,0,0
1984,Supporting Actor,The Killing Fields,Haing S. Ngor,0.0,1.0,0.0,1.0,141,34700291.0,7.9,92.0,93.0,0,1,0,0,0,1,0,0,0
1984,Supporting Actor,A Soldier's Story,Adolph Caesar,0.0,0.0,0.0,0.0,101,21821347.0,7.2,82.0,89.0,1,0,1,0,0,0,0,0,1
1984,Supporting Actor,Places in the Heart,John Malkovich,0.0,0.0,0.0,0.0,102,34901614.0,7.3,82.0,96.0,1,0,1,0,0,0,0,0,1
1984,Supporting Actor,The Karate Kid,Pat Morita,0.0,0.0,0.0,0.0,127,90800000.0,7.2,82.0,90.0,1,0,1,0,0,0,1,0,0
1984,Supporting Actor,"Greystoke: The Legend of Tarzan, Lord of the Apes",Ralph Richardson,0.0,0.0,0.0,0.0,130,45900000.0,6.3,61.0,69.0,0,0,1,0,0,1,0,0,0
1985,Supporting Actor,Cocoon,Don Ameche,0.0,0.0,0.0,1.0,117,85300000.0,6.7,59.0,80.0,1,0,0,1,0,0,1,0,0
1985,Supporting Actor,Out of Africa,Klaus Maria Brandauer,0.0,1.0,0.0,0.0,161,128500000.0,7.2,83.0,56.0,1,0,1,0,0,0,0,0,1
1985,Supporting Actor,Prizzi's Honor,William Hickey,0.0,0.0,0.0,0.0,130,26657534.0,6.8,62.0,88.0,1,1,0,0,0,0,1,0,0
1985,Supporting Actor,Jagged Edge,Robert Loggia,0.0,0.0,0.0,0.0,108,40491165.0,6.4,58.0,82.0,1,1,0,0,0,0,0,0,1
1985,Supporting Actor,Runaway Train,Eric Roberts,0.0,0.0,0.0,0.0,110,7700000.0,7.3,76.0,87.0,1,1,0,0,0,1,0,0,0
1986,Supporting Actor,Hannah and Her Sisters,Michael Caine,0.0,0.0,0.0,1.0,106,40100000.0,8.0,90.0,93.0,1,0,0,1,0,1,0,0,0
1986,Supporting Actor,Platoon,Tom Berenger,0.0,1.0,0.0,0.0,120,138500000.0,8.1,93.0,88.0,1,1,0,0,0,1,0,0,0
1986,Supporting Actor,Platoon,Willem Dafoe,0.0,0.0,0.0,0.0,120,138500000.0,8.1,93.0,88.0,1,1,0,0,0,1,0,0,0
1986,Supporting Actor,A Room with a View,Denholm Elliott,0.0,0.0,0.0,0.0,117,21000000.0,7.4,86.0,100.0,0,0,0,1,0,0,1,0,0
1986,Supporting Actor,Hoosiers,Dennis Hopper,0.0,0.0,0.0,0.0,115,28600000.0,7.6,88.0,88.0,1,0,1,0,0,1,0,0,0
1987,Supporting Actor,The Untouchables,Sean Connery,0.0,1.0,0.0,1.0,119,106200000.0,7.9,89.0,80.0,1,1,0,0,0,0,1,0,0
1987,Supporting Actor,Broadcast News,Albert Brooks,0.0,0.0,0.0,0.0,133,67331309.0,7.2,78.0,98.0,1,1,0,0,0,0,0,0,1
1987,Supporting Actor,Street Smart,Morgan Freeman,0.0,0.0,0.0,0.0,97,1119112.0,6.4,42.0,69.0,0,1,0,0,0,1,0,0,0
1987,Supporting Actor,Moonstruck,Vincent Gardenia,0.0,0.0,0.0,0.0,102,91640528.0,7.1,80.0,92.0,1,0,1,0,0,1,0,0,0
1987,Supporting Actor,Cry Freedom,Denzel Washington,0.0,0.0,0.0,0.0,157,5900000.0,7.5,88.0,81.0,0,0,1,0,0,0,0,0,1
1988,Supporting Actor,A Fish Called Wanda,Kevin Kline,0.0,0.0,0.0,1.0,108,62500000.0,7.6,84.0,93.0,0,1,0,0,0,0,0,1,0
1988,Supporting Actor,Little Dorrit,Alec Guinness,0.0,0.0,0.0,0.0,360,1025228.0,7.6,67.0,71.0,0,0,0,0,1,0,0,0,1
