year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Actress,Coal Miner's Daughter,Sissy Spacek,0,1,0,1,125,67182787,7.5,86,100,1,0,1,0,0,1,0,0,0
1980,Actress,Private Benjamin,Goldie Hawn,0,0,0,0,109,69847348,6.1,60,88,1,1,0,0,0,0,0,0,1
1980,Actress,Ordinary People,Mary Tyler Moore,0,1,0,0,124,54800000,7.8,88,90,1,1,0,0,0,1,0,0,0
1980,Actress,Gloria,Gena Rowlands,0,0,0,0,121,4100000,7.1,80,95,1,0,1,0,0,0,0,0,1
1981,Actress,On Golden Pond,Katharine Hepburn,0,0,0,1,109,119300000,7.7,87,92,1,0,1,0,0,1,0,0,0
1981,Actress,Reds,Diane Keaton,0,0,0,0,195,40400000,7.5,82,94,1,0,1,0,0,0,0,0,1
1981,Actress,Only When I Laugh,Marsha Mason,0,0,0,0,120,25524778,6.5,40,50,1,1,0,0,0,0,0,1,0
1981,Actress,Atlantic City,Susan Sarandon,0,0,0,0,104,12729675,7.4,77,100,0,1,0,0,0,0,1,0,0
1981,Actress,The French Lieutenant's Woman,Meryl Streep,1,1,0,0,127,26890068,7,68,76,0,1,0,0,0,0,0,0,1
1982,Actress,Sophie's Choice,Meryl Streep,0,1,0,1,151,30036000,7.7,85,79,1,1,0,0,0,1,0,0,0
1982,Actress,Victor Victoria,Julie Andrews,0,1,0,0,132,28215453,7.6,86,96,0,0,1,0,0,1,0,0,0
1982,Actress,Frances,Jessica Lange,0,0,0,0,140,5000000,7.4,77,68,1,1,0,0,0,1,0,0,0
1982,Actress,Missing,Sissy Spacek,0,0,0,0,122,1416000000,7.8,85,97,1,0,1,0,0,1,0,0,0
1982,Actress,An Officer and a Gentleman,Debra Winger,0,0,0,0,122,129800000,7,81,81,1,1,0,0,0,0,0,1,0
1983,Actress,Terms of Endearment,Shirley MacLaine,0,1,0,1,132,108400000,7.4,84,88,1,0,1,0,0,0,0,0,1
1983,Actress,Silkwood,Meryl Streep,0,0,0,0,131,35615609,7.2,78,75,1,1,0,0,0,1,0,0,0
1983,Actress,Educating Rita,Julie Walters,1,1,0,0,110,14600000,7.2,81,85,0,0,1,0,0,0,0,0,1
1983,Actress,Terms of Endearment,Debra Winger,0,0,0,0,132,108400000,7.4,84,88,1,0,1,0,0,0,0,0,1
1984,Actress,Places in the Heart,Sally Field,0,1,0,1,102,34901614,7.3,82,96,1,0,1,0,0,0,0,0,1
1984,Actress,A Passage to India,Judy Davis,0,0,0,0,163,27200000,7.4,78,85,0,0,1,0,0,1,0,0,0
1984,Actress,Country,Jessica Lange,0,0,0,0,110,9640000,6.8,70,100,1,0,1,0,0,0,0,1,0
1984,Actress,The River,Sissy Spacek,0,0,0,0,122,11500000,6.3,79,87,1,0,0,1,0,1,0,0,0
1985,Actress,The Trip to Bountiful,Geraldine Page,0,0,0,1,108,7491903,7.6,86,100,1,0,1,0,0,1,0,0,0
1985,Actress,Agnes of God,Anne Bancroft,0,0,0,0,98,25600000,6.6,55,46,1,0,0,1,0,0,0,1,0
1985,Actress,The Color Purple,Whoopi Goldberg,0,1,0,0,153,142000000,7.8,94,88,1,0,0,1,0,1,0,0,0
1985,Actress,Sweet Dreams,Jessica Lange,0,0,0,0,115,9085049,7.1,82,94,1,0,0,1,0,0,0,0,1
1985,Actress,Out of Africa,Meryl Streep,0,0,0,0,161,128500000,7.2,83,56,1,0,1,0,0,0,0,0,1
1986,Actress,Children of a Lesser God,Marlee Matlin,0,1,0,1,119,31853080,7.2,78,81,1,1,0,0,0,0,0,0,1
1986,Actress,The Morning After,Jane Fonda,0,0,0,0,103,25147055,6,38,71,0,1,0,0,0,0,0,0,1
1986,Actress,Crimes of the Heart,Sissy Spacek,0,1,0,0,105,22905522,6.4,66,81,1,0,0,1,0,1,0,0,0
1986,Actress,Peggy Sue Got Married,Kathleen Turner,0,0,0,0,103,41382841,6.3,55,85,1,0,0,1,0,0,0,0,1
1986,Actress,Aliens,Sigourney Weaver,0,0,0,0,137,131100000,8.4,94,98,1,1,0,0,0,0,0,1,0
1987,Actress,Moonstruck,Cher,0,1,0,1,102,91640528,7.1,80,92,1,0,1,0,0,1,0,0,0
