year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Adapted Screenplay,Ordinary People,Alvin Sargent,0.0,0.0,0.0,1.0,124,54800000.0,7.8,88.0,90.0,1,1,0,0,0,1,0,0,0
1980,Adapted Screenplay,Breaker Morant,Jonathan Hardy,0.0,0.0,0.0,0.0,107,4735000.0,7.9,91.0,100.0,0,0,1,0,0,0,0,1,0
1980,Adapted Screenplay,Coal Miner's Daughter,Tom Rickman,0.0,0.0,0.0,0.0,125,67182787.0,7.5,86.0,100.0,1,0,1,0,0,1,0,0,0
1980,Adapted Screenplay,The Elephant Man,Christopher De Vore,0.0,0.0,0.0,0.0,124,26000000.0,8.2,93.0,90.0,1,0,1,0,0,0,0,0,1
1980,Adapted Screenplay,The Stunt Man,Lawrence B. Marcus,0.0,0.0,0.0,0.0,131,7068886.0,7.2,75.0,89.0,1,1,0,0,0,0,1,0,0
1981,Adapted Screenplay,On Golden Pond,Ernest Thompson,0.0,1.0,0.0,1.0,109,119300000.0,7.7,87.0,92.0,1,0,1,0,0,1,0,0,0
1981,Adapted Screenplay,The French Lieutenant's Woman,Harold Pinter,0.0,0.0,0.0,0.0,127,26890068.0,7.0,68.0,76.0,0,1,0,0,0,0,0,0,1
1981,Adapted Screenplay,Prince of the City,Jay Presson Allen,0.0,0.0,0.0,0.0,167,8124257.0,7.7,83.0,95.0,1,1,0,0,0,0,0,1,0
1981,Adapted Screenplay,Ragtime,Michael Weller,0.0,0.0,0.0,0.0,155,11099118.0,7.3,77.0,90.0,1,0,1,0,0,0,0,0,1
1982,Adapted Screenplay,Missing,Costa-Gavras,0.0,0.0,0.0,1.0,122,1416000000.0,7.8,85.0,97.0,1,0,1,0,0,1,0,0,0
1982,Adapted Screenplay,Das Boot,Wolfgang Petersen,0.0,0.0,0.0,0.0,149,84900000.0,8.4,96.0,98.0,0,1,0,0,0,1,0,0,0
1982,Adapted Screenplay,Sophie's Choice,Alan J. Pakula,0.0,0.0,0.0,0.0,151,30036000.0,7.7,85.0,79.0,1,1,0,0,0,1,0,0,0
1982,Adapted Screenplay,The Verdict,David Mamet,0.0,0.0,0.0,0.0,129,53977250.0,7.8,88.0,96.0,1,1,0,0,0,0,0,0,1
1982,Adapted Screenplay,Victor/Victoria,Blake Edwards,0.0,0.0,0.0,0.0,132,28215453.0,7.6,86.0,96.0,0,0,1,0,0,1,0,0,0
1983,Adapted Screenplay,Terms of Endearment,James L. Brooks,0.0,1.0,0.0,1.0,132,108400000.0,7.4,84.0,88.0,1,0,1,0,0,0,0,0,1
1983,Adapted Screenplay,The Dresser,Ronald Harwood,0.0,0.0,0.0,0.0,118,5310748.0,7.7,88.0,100.0,0,0,1,0,0,0,0,0,1
