year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Director,Ordinary People,Robert Redford,0.0,1.0,0.0,1.0,124,54800000.0,7.8,88.0,90.0,1,1,0,0,0,1,0,0,0
1980,Director,The Elephant Man,David Lynch,0.0,0.0,0.0,0.0,124,26000000.0,8.2,93.0,90.0,1,0,1,0,0,0,0,0,1
1980,Director,Tess,Roman Polanski,0.0,0.0,0.0,0.0,186,20100000.0,7.3,78.0,85.0,0,0,1,0,0,0,0,0,1
1980,Director,The Stunt Man,Richard Rush,0.0,0.0,0.0,0.0,131,7068886.0,7.2,75.0,89.0,1,1,0,0,0,0,1,0,0
1980,Director,Raging Bull,Martin Scorsese,0.0,0.0,0.0,0.0,129,23400000.0,8.2,93.0,97.0,1,1,0,0,0,0,0,0,1
1981,Director,Reds,Warren Beatty,0.0,1.0,0.0,1.0,195,40400000.0,7.5,82.0,94.0,1,0,1,0,0,0,0,0,1
1981,Director,Chariots of Fire,Hugh Hudson,0.0,0.0,0.0,0.0,124,59000000.0,7.2,80.0,83.0,0,0,1,0,0,0,1,0,0
1981,Director,Atlantic City,Louis Malle,1.0,0.0,0.0,0.0,104,12729675.0,7.4,77.0,100.0,0,1,0,0,0,0,1,0,0
1981,Director,On Golden Pond,Mark Rydell,0.0,0.0,0.0,0.0,109,119300000.0,7.7,87.0,92.0,1,0,1,0,0,1,0,0,0
1981,Director,Raiders of the Lost Ark,Steven Spielberg,0.0,0.0,0.0,0.0,115,389900000.0,8.5,96.0,94.0,1,0,1,0,0,0,1,0,0
1982,Director,Gandhi,Richard Attenborough,1.0,1.0,0.0,1.0,191,127800000.0,8.1,92.0,88.0,0,0,1,0,0,1,0,0,0
1982,Director,The Verdict,Sidney Lumet,0.0,0.0,0.0,0.0,129,53977250.0,7.8,88.0,96.0,1,1,0,0,0,0,0,0,1
1982,Director,Das Boot,Wolfgang Petersen,0.0,0.0,0.0,0.0,149,84900000.0,8.4,96.0,98.0,0,1,0,0,0,1,0,0,0
