year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Original Screenplay,Melvin and Howard,Bo Goldman,0,0,0,1,95,4309490,6.9,61,94,1,1,0,0,0,0,0,1,0
1980,Original Screenplay,Brubaker,W. D. Richter,0,0,0,0,132,37121708,7.1,74,75,1,1,0,0,0,0,1,0,0
1980,Original Screenplay,Fame,Gore !Christopher Gore,0,0,0,0,133,21200000,6.6,69,83,1,1,0,0,0,0,1,0,0
1980,Original Screenplay,Private Benjamin,Nancy Meyers,0,0,0,0,109,69847348,6.1,60,88,1,1,0,0,0,0,0,0,1
1981,Original Screenplay,Chariots of Fire,Colin Welland,0,0,0,1,124,59000000,7.2,80,83,0,0,1,0,0,0,1,0,0
1981,Original Screenplay,Absence of Malice,Kurt Luedtke,0,0,0,0,116,40716963,6.9,61,86,1,0,1,0,0,0,0,0,1
1981,Original Screenplay,Arthur,Steve Gordon,0,0,0,0,97,95461682,6.9,77,90,1,0,1,0,0,0,0,1,0
1981,Original Screenplay,Atlantic City,John Guare,0,0,0,0,104,12729675,7.4,77,100,0,1,0,0,0,0,1,0,0
1981,Original Screenplay,Reds,Warren Beatty,0,0,0,0,195,40400000,7.5,82,94,1,0,1,0,0,0,0,0,1
1982,Original Screenplay,Gandhi,John Briley,0,1,0,1,191,127800000,8.1,92,88,0,0,1,0,0,1,0,0,0
1982,Original Screenplay,Diner,Barry Levinson,0,0,0,0,110,14099953,7.2,78,91,1,1,0,0,0,0,1,0,0
1982,Original Screenplay,E.T. the Extra-Terrestrial,Melissa Mathison,0,0,0,0,114,792900000,7.9,72,98,1,0,1,0,0,0,1,0,0
1982,Original Screenplay,An Officer and a Gentleman,Douglas Day Stewart,0,0,0,0,122,129800000,7,81,81,1,1,0,0,0,0,0,1,0
1982,Original Screenplay,Tootsie,Larry Gelbart,0,0,0,0,116,177200000,7.4,81,89,1,0,1,0,0,0,0,0,1
1983,Original Screenplay,Tender Mercies,Horton Foote,0,0,0,1,92,8440000,7.4,82,85,1,0,1,0,0,0,1,0,0
1983,Original Screenplay,The Big Chill,Lawrence Kasdan,0,0,0,0,105,56399659,7.2,77,68,1,1,0,0,0,0,0,1,0
1983,Original Screenplay,Fanny and Alexander,Ingmar Bergman,0,0,0,0,121,6700000,8.1,94,100,0,1,0,0,0,0,0,0,1
1983,Original Screenplay,Silkwood,Nora Ephron,0,0,0,0,131,35615609,7.2,78,75,1,1,0,0,0,1,0,0,0
1983,Original Screenplay,WarGames,Lawrence Lasker,0,0,0,0,114,79600000,7.1,75,93,1,0,1,0,0,0,1,0,0
1984,Original Screenplay,Places in the Heart,Robert Benton,0,0,0,1,102,34901614,7.3,82,96,1,0,1,0,0,0,0,0,1
