year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Picture,Ordinary People,Ordinary People,0,1,0,1,124,54800000,7.8,88,90,1,1,0,0,0,1,0,0,0
1980,Picture,Coal Miner's Daughter,Coal Miner's Daughter,0,1,0,0,125,67182787,7.5,86,100,1,0,1,0,0,1,0,0,0
1980,Picture,The Elephant Man,The Elephant Man,1,0,0,0,124,26000000,8.2,93,90,1,0,1,0,0,0,0,0,1
1980,Picture,Raging Bull,Raging Bull,0,0,0,0,129,23400000,8.2,93,97,1,1,0,0,0,0,0,0,1
1980,Picture,Tess,Tess,0,0,0,0,186,20100000,7.3,78,85,0,0,1,0,0,0,0,0,1
1981,Picture,Chariots of Fire,Chariots of Fire,1,0,0,1,124,59000000,7.2,80,83,0,0,1,0,0,0,1,0,0
1981,Picture,Atlantic City,Atlantic City,0,0,0,0,104,12729675,7.4,77,100,0,1,0,0,0,0,1,0,0
1981,Picture,On Golden Pond,On Golden Pond,0,1,0,0,109,119300000,7.7,87,92,1,0,1,0,0,1,0,0,0
1981,Picture,Raiders of the Lost Ark,Raiders of the Lost Ark,0,0,0,0,115,389900000,8.5,96,94,1,0,1,0,0,0,1,0,0
1981,Picture,Reds,Reds,0,0,0,0,195,40400000,7.5,82,94,1,0,1,0,0,0,0,0,1
1982,Picture,Gandhi,Gandhi,1,0,0,1,191,127800000,8.1,92,88,0,0,1,0,0,1,0,0,0
1982,Picture,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0,1,0,0,114,792900000,7.9,72,98,1,0,1,0,0,0,1,0,0
1982,Picture,Missing,Missing,0,0,0,0,122,1416000000,7.8,85,97,1,0,1,0,0,1,0,0,0
1982,Picture,Tootsie,Tootsie,0,1,0,0,116,177200000,7.4,81,89,1,0,1,0,0,0,0,0,1
1982,Picture,The Verdict,The Verdict,0,0,0,0,129,53977250,7.8,88,96,1,1,0,0,0,0,0,0,1
1983,Picture,Terms of Endearment,Terms of Endearment,0,1,0,1,132,108400000,7.4,84,88,1,0,1,0,0,0,0,0,1
1983,Picture,The Big Chill,The Big Chill,0,0,0,0,105,56399659,7.2,77,68,1,1,0,0,0,0,0,1,0
1983,Picture,The Dresser,The Dresser,0,0,0,0,118,5310748,7.7,88,100,0,0,1,0,0,0,0,0,1
1983,Picture,The Right Stuff,The Right Stuff,0,0,0,0,192,21100000,7.9,90,98,1,0,1,0,0,1,0,0,0
1983,Picture,Tender Mercies,Tender Mercies,0,0,0,0,92,8440000,7.4,82,85,1,0,1,0,0,0,1,0,0
1984,Picture,Amadeus,Amadeus,0,1,0,1,161,52000000,8.3,95,95,1,1,0,0,0,0,0,1,0
1984,Picture,The Killing Fields,The Killing Fields,1,0,0,0,141,34700291,7.9,92,93,0,1,0,0,0,1,0,0,0
1984,Picture,A Passage to India,A Passage to India,0,0,0,0,163,27200000,7.4,78,85,0,0,1,0,0,1,0,0,0
1984,Picture,Places in the Heart,Places in the Heart,0,0,0,0,102,34901614,7.3,82,96,1,0,1,0,0,0,0,0,1
1984,Picture,A Soldier's Story,A Soldier's Story,0,0,0,0,101,21821347,7.2,82,89,1,0,1,0,0,0,0,0,1
1985,Picture,Out of Africa,Out of Africa,0,1,0,1,161,128500000,7.2,83,56,1,0,1,0,0,0,0,0,1
1985,Picture,The Color Purple,The Color Purple,0,0,0,0,153,142000000,7.8,94,88,1,0,0,1,0,1,0,0,0
1985,Picture,Kiss of the Spider Woman,Kiss of the Spider Woman,0,0,0,0,121,17005229,7.4,81,88,0,1,0,0,0,0,0,1,0
1985,Picture,Prizzi's Honor,Prizzi's Honor,0,1,0,0,130,26657534,6.8,62,88,1,1,0,0,0,0,1,0,0
1985,Picture,Witness,Witness,0,0,0,0,112,68700000,7.4,80,92,1,1,0,0,0,1,0,0,0
1986,Picture,Platoon,Platoon,0,1,0,1,120,138500000,8.1,93,88,1,1,0,0,0,1,0,0,0
1986,Picture,Children of a Lesser God,Children of a Lesser God,0,0,0,0,119,31853080,7.2,78,81,1,1,0,0,0,0,0,0,1
1986,Picture,Hannah and Her Sisters,Hannah and Her Sisters,0,1,0,0,106,40100000,8,90,93,1,0,0,1,0,1,0,0,0
1986,Picture,The Mission,The Mission,0,0,0,0,125,17200000,7.5,87,65,0,0,1,0,0,0,0,0,1
1986,Picture,A Room with a View,A Room with a View,1,0,0,0,117,21000000,7.4,86,100,0,0,0,1,0,0,1,0,0
1987,Picture,The Last Emperor,The Last Emperor,0,1,0,1,163,44000000,7.8,88,92,0,0,0,1,0,0,1,0,0
1987,Picture,Broadcast News,Broadcast News,0,0,0,0,133,67331309,7.2,78,98,1,1,0,0,0,0,0,0,1
1987,Picture,Fatal Attraction,Fatal Attraction,0,0,0,0,119,320100000,6.9,72,78,1,1,0,0,0,0,0,1,0
1987,Picture,Hope and Glory,Hope and Glory,0,1,0,0,113,10000000,7.4,83,94,0,0,0,1,0,1,0,0,0
1987,Picture,Moonstruck,Moonstruck,0,0,0,0,102,91640528,7.1,80,92,1,0,1,0,0,1,0,0,0
1988,Picture,Rain Man,Rain Man,0,1,0,1,133,354800000,8,90,90,1,1,0,0,0,0,0,0,1
1988,Picture,The Accidental Tourist,The Accidental Tourist,0,0,0,0,121,32632093,6.8,60,79,1,0,1,0,0,1,0,0,0
1988,Picture,Dangerous Liaisons,Dangerous Liaisons,0,0,0,0,119,34700000,7.7,83,93,1,1,0,0,0,1,0,0,0
1988,Picture,Mississippi Burning,Mississippi Burning,0,0,0,0,128,34600000,7.8,90,89,1,1,0,0,0,1,0,0,0
1988,Picture,Working Girl,Working Girl,0,1,0,0,114,102953112,6.7,67,84,1,1,0,0,0,0,0,0,1
1989,Picture,Driving Miss Daisy,Driving Miss Daisy,0,1,0,1,100,145800000,7.4,81,82,1,0,1,0,0,1,0,0,0
1989,Picture,Born on the Fourth of July,Born on the Fourth of July,0,1,0,0,145,161000000,7.2,76,90,1,1,0,0,0,1,0,0,0
1989,Picture,Dead Poets Society,Dead Poets Society,1,0,0,0,128,235800000,8,92,85,1,0,1,0,0,0,1,0,0
1989,Picture,Field of Dreams,Field of Dreams,0,0,0,0,107,84400000,7.5,86,86,1,0,1,0,0,0,1,0,0
1989,Picture,My Left Foot,My Left Foot,0,0,0,0,103,14700000,7.9,92,97,0,1,0,0,0,1,0,0,0
1990,Picture,Dances with Wolves,Dances with Wolves,0,1,0,1,181,424200000,8,87,82,1,0,0,1,0,0,0,0,1
1990,Picture,Awakenings,Awakenings,0,0,0,0,121,52100000,7.8,89,88,1,0,0,1,0,1,0,0,0
1990,Picture,Ghost,Ghost,0,0,0,0,127,505700000,7,80,74,1,0,0,1,0,0,0,1,0
1990,Picture,The Godfather Part III,The Godfather Part III,0,0,0,0,162,136800000,7.6,78,67,1,1,0,0,0,0,0,0,1
1990,Picture,Goodfellas,Goodfellas,1,0,0,0,145,46800000,8.7,97,97,1,1,0,0,0,0,0,1,0
1991,Picture,The Silence of the Lambs,The Silence of the Lambs,0,0,0,1,118,272700000,8.6,95,95,1,1,0,0,0,1,0,0,0
1991,Picture,Beauty and the Beast,Beauty and the Beast,0,1,0,0,84,425000000,8,92,93,1,0,0,0,1,0,0,0,1
1991,Picture,Bugsy,Bugsy,0,1,0,0,137,49100000,6.8,69,85,1,1,0,0,0,0,0,0,1
1991,Picture,JFK,JFK,0,0,0,0,188,205400000,8,88,84,1,1,0,0,0,0,0,0,1
1991,Picture,The Prince of Tides,The Prince of Tides,0,0,0,0,132,110000000,6.7,70,73,1,1,0,0,0,0,0,0,1
1992,Picture,Unforgiven,Unforgiven,0,0,0,1,131,159200000,8.3,93,95,1,1,0,0,0,0,0,1,0
1992,Picture,The Crying Game,The Crying Game,0,0,0,0,111,62500000,7.3,78,97,0,1,0,0,0,1,0,0,0
1992,Picture,A Few Good Men,A Few Good Men,0,0,0,0,138,243200000,7.6,89,81,1,1,0,0,0,0,0,0,1
1992,Picture,Howards End,Howards End,1,0,0,0,140,26100000,7.5,82,92,0,0,1,0,0,1,0,0,0
1992,Picture,Scent of a Woman,Scent of a Woman,0,1,0,0,156,134100000,8,92,88,1,1,0,0,0,1,0,0,0
1993,Picture,Schindler's List,Schindler's List,1,1,0,1,197,321200000,8.9,97,96,1,1,0,0,0,1,0,0,0
1993,Picture,The Fugitive,The Fugitive,0,0,0,0,130,368900000,7.8,89,96,1,0,0,1,0,0,0,1,0
1993,Picture,In the Name of the Father,In the Name of the Father,0,0,0,0,133,65800000,8.1,95,94,0,1,0,0,0,1,0,0,0
1993,Picture,The Piano,The Piano,0,0,0,0,117,140000000,7.6,86,90,0,1,0,0,0,1,0,0,0
1993,Picture,The Remains of the Day,The Remains of the Day,0,0,0,0,134,63900000,7.9,89,97,0,0,1,0,0,0,0,0,1
1994,Picture,Forrest Gump,Forrest Gump,0,1,0,1,142,677900000,8.8,95,72,1,0,0,1,0,0,0,1,0
1994,Picture,Four Weddings and a Funeral,Four Weddings and a Funeral,1,0,0,0,117,245700000,7.1,74,95,0,1,0,0,0,0,1,0,0
1994,Picture,Pulp Fiction,Pulp Fiction,0,0,0,0,154,213900000,8.9,96,94,1,1,0,0,0,0,0,0,1
1994,Picture,Quiz Show,Quiz Show,0,0,0,0,133,24800000,7.5,87,96,1,0,0,1,0,0,0,0,1
1994,Picture,The Shawshank Redemption,The Shawshank Redemption,0,0,0,0,142,58000000,9.3,98,91,1,1,0,0,0,0,0,0,1
1995,Picture,Braveheart,Braveheart,0,0,0,1,178,210400000,8.4,85,78,1,1,0,0,0,0,1,0,0
1995,Picture,Apollo 13,Apollo 13,0,0,1,0,140,355200000,7.6,87,95,1,0,1,0,0,0,1,0,0
1995,Picture,Babe,Babe,0,1,0,0,92,254100000,6.8,67,97,0,0,0,0,1,0,0,1,0
1995,Picture,Il Postino: The Postman,Il Postino: The Postman,0,0,0,0,108,21848932,7.8,94,93,0,0,1,0,0,1,0,0,0
1995,Picture,Sense and Sensibility,Sense and Sensibility,1,1,0,0,136,134993774,7.7,90,98,0,0,1,0,0,1,0,0,0
1996,Picture,The English Patient,The English Patient,1,1,0,1,162,232000000,7.4,83,84,0,1,0,0,0,0,0,0,1
1996,Picture,Fargo,Fargo,0,0,0,0,98,60600000,8.1,93,94,0,1,0,0,0,0,1,0,0
1996,Picture,Jerry Maguire,Jerry Maguire,0,0,0,0,138,273600000,7.3,79,82,1,1,0,0,0,0,0,0,1
1996,Picture,Secrets and Lies,Secrets & Lies,0,0,0,0,142,13417292,8,91,94,0,1,0,0,0,1,0,0,0
1996,Picture,Shine,Shine,0,0,0,0,105,35900000,7.7,90,91,0,0,0,1,0,1,0,0,0
1997,Picture,Titanic,Titanic,0,1,0,1,195,21870000,7.7,69,88,1,0,0,1,0,0,0,0,1
1997,Picture,As Good as It Gets,As Good as It Gets,0,1,0,0,139,314178011,7.7,86,86,1,0,0,1,0,0,0,0,1
1997,Picture,The Full Monty,The Full Monty,1,0,1,0,91,258000000,7.2,79,95,0,1,0,0,0,0,0,1,0
1997,Picture,Good Will Hunting,Good Will Hunting,0,0,0,0,126,225900000,8.3,94,97,1,1,0,0,0,1,0,0,0
1997,Picture,L.A. Confidential,L.A. Confidential,0,0,0,0,138,126200000,7.3,94,99,1,1,0,0,0,0,0,1,0
1998,Picture,Shakespeare in Love,Shakespeare in Love,1,1,1,1,123,289300000,7.2,80,92,1,1,0,0,0,1,0,0,0
1998,Picture,Elizabeth,Elizabeth,0,0,0,0,123,82150642,7.5,86,82,0,1,0,0,0,1,0,0,0
1998,Picture,Life Is Beautiful,Life Is Beautiful,0,0,0,0,116,229200000,8.6,96,80,0,0,0,1,0,1,0,0,0
1998,Picture,Saving Private Ryan,Saving Private Ryan,0,1,0,0,169,481800000,8.6,95,92,1,1,0,0,0,0,0,1,0
1998,Picture,The Thin Red Line,The Thin Red Line,0,0,0,0,170,98100000,7.6,80,78,1,1,0,0,0,1,0,0,0
1999,Picture,American Beauty,American Beauty,1,1,1,1,122,356300000,8.4,93,88,1,1,0,0,0,0,0,0,1
1999,Picture,The Cider House Rules,The Cider House Rules,0,0,0,0,125,88500000,7.4,77,71,1,0,0,1,0,1,0,0,0
1999,Picture,The Green Mile,The Green Mile,0,0,0,0,189,290700000,8.5,94,80,1,1,0,0,0,0,0,0,1
1999,Picture,The Insider,The Insider,0,0,0,0,157,60200000,7.9,90,96,1,1,0,0,0,0,0,0,1
1999,Picture,The Sixth Sense,The Sixth Sense,0,0,0,0,107,672800000,8.1,89,85,1,0,0,1,0,0,0,1,0
2000,Picture,Gladiator,Gladiator,1,1,0,1,155,457600000,8.5,87,76,0,1,0,0,0,0,1,0,0
