year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Supporting Actor,Ordinary People,Timothy Hutton,0,1,0,1,124,54800000,7.8,88,90,1,1,0,0,0,1,0,0,0
1980,Supporting Actor,Ordinary People,Judd Hirsch,0,0,0,0,124,54800000,7.8,88,90,1,1,0,0,0,1,0,0,0
1980,Supporting Actor,The Great Santini,Michael O'Keefe,0,0,0,0,115,4700000,7.2,76,94,1,0,1,0,0,0,0,0,1
1980,Supporting Actor,Raging Bull,Joe Pesci,0,0,0,0,129,23400000,8.2,93,97,1,1,0,0,0,0,0,0,1
1980,Supporting Actor,Melvin and Howard,Jason Robards,0,0,0,0,95,4309490,6.9,61,94,1,1,0,0,0,0,0,1,0
1981,Supporting Actor,Arthur,John Gielgud,0,1,0,1,97,95461682,6.9,77,90,1,0,1,0,0,0,0,1,0
1981,Supporting Actor,Only When I Laugh,James Coco,0,0,0,0,120,25524778,6.5,40,50,1,1,0,0,0,0,0,1,0
1981,Supporting Actor,Chariots of Fire,Ian Holm,1,0,0,0,124,59000000,7.2,80,83,0,0,1,0,0,0,1,0,0
1981,Supporting Actor,Reds,Jack Nicholson,0,0,0,0,195,40400000,7.5,82,94,1,0,1,0,0,0,0,0,1
1981,Supporting Actor,Ragtime,Howard Rollins,0,0,0,0,155,11099118,7.3,77,90,1,0,1,0,0,0,0,0,1
1982,Supporting Actor,An Officer and a Gentleman,Louis Gossett Jr.,0,1,0,1,122,129800000,7,81,81,1,1,0,0,0,0,0,1,0
1982,Supporting Actor,The Best Little Whorehouse in Texas,Charles Durning,0,0,0,0,114,69700000,5.8,68,56,1,1,0,0,0,0,0,1,0
1982,Supporting Actor,The World According to Garp,John Lithgow,0,0,0,0,136,29712172,7.2,79,79,1,1,0,0,0,0,0,1,0
1982,Supporting Actor,The Verdict,James Mason,0,0,0,0,129,53977250,7.8,88,96,1,1,0,0,0,0,0,0,1
1982,Supporting Actor,Victor Victoria,Robert Preston,0,0,0,0,132,28215453,7.6,86,96,0,0,1,0,0,1,0,0,0
1983,Supporting Actor,Terms of Endearment,Jack Nicholson,0,1,0,1,132,108400000,7.4,84,88,1,0,1,0,0,0,0,0,1
1983,Supporting Actor,To Be or Not to Be,Charles Durning,0,0,0,0,107,13000000,6.8,76,63,1,0,1,0,0,0,0,0,1
